Feature,Coefficient,Absolute
categorical__P_emaildomain_hotmail.co.uk,44.297362084712454,44.297362084712454
categorical__DeviceInfo_SM-G925I Build/MMB29K,44.28466878727771,44.28466878727771
numeric__V192,-44.222747527251904,44.222747527251904
categorical__DeviceInfo_Moto G (5) Plus Build/NPNS25.137-15-11,44.123528832780075,44.123528832780075
categorical__DeviceInfo_LG-H901,44.05295047996439,44.05295047996439
numeric__V310,44.023635281502926,44.023635281502926
categorical__DeviceInfo_LGMP450 Build/NRD90U,43.99358258881854,43.99358258881854
categorical__DeviceInfo_HUAWEI CUN-L03 Build/HUAWEICUN-L03,43.85638396439325,43.85638396439325
categorical__DeviceInfo_SM-J730G Build/NRD90M,43.76032801080398,43.76032801080398
categorical__DeviceInfo_SAMSUNG SM-G935A Build/NRD90M,43.623371056909484,43.623371056909484
categorical__id_30_Android 7.1.2,43.5047075746238,43.5047075746238
categorical__DeviceInfo_SAMSUNG-SM-G900A Build/MMB29M,-43.46387081626028,43.46387081626028
categorical__DeviceInfo_Z798BL Build/MMB29M,43.461481159687615,43.461481159687615
categorical__DeviceInfo_NX785QC8G,43.45271167268219,43.45271167268219
categorical__DeviceInfo_SAMSUNG SM-J327T Build/NRD90M,-43.139278430029286,43.139278430029286
categorical__DeviceInfo_SM-T560NU Build/NMF26X,-43.112019365656174,43.112019365656174
categorical__DeviceInfo_LG-H500 Build/LRX21Y,42.900125644610746,42.900125644610746
categorical__DeviceInfo_LG-V410,-42.86913827132192,42.86913827132192
categorical__DeviceInfo_TOMMY2,42.499031650595256,42.499031650595256
categorical__P_emaildomain_earthlink.net,42.37365537912551,42.37365537912551
categorical__DeviceInfo_LGLS991,-42.2765666928447,42.2765666928447
numeric__V168,41.99776499265199,41.99776499265199
categorical__DeviceInfo_KFFOWI Build/LVY48F,-41.948381245524445,41.948381245524445
categorical__DeviceInfo_Moto E (4) Build/NMA26.42-19,41.89082485876644,41.89082485876644
categorical__id_31_other,-41.55180464262628,41.55180464262628
categorical__DeviceInfo_Z410,-41.17566622400409,41.17566622400409
categorical__DeviceInfo_VS501 Build/NRD90U,41.14918374356326,41.14918374356326
